ダウンロードした時刻：2019/01/25 15:15:10

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,品質情報,均質番号,,品質情報,均質番号
2009,1,1,快晴,8,1,晴,8,1
2009,1,2,快晴,8,1,快晴,8,1
2009,1,3,快晴,8,1,快晴,8,1
2009,1,4,快晴,8,1,曇後一時晴,8,1
2009,1,5,晴後一時曇,8,1,曇時々晴,8,1
2009,1,6,晴後一時薄曇,8,1,晴時々曇,8,1
2009,1,7,薄曇時々晴,8,1,曇一時晴,8,1
2009,1,8,晴時々薄曇,8,1,曇後雨,8,1
2009,1,9,雨、みぞれを伴う,8,1,晴時々曇一時雨,8,1
2009,1,10,晴一時曇,8,1,快晴,8,1
2009,1,11,快晴,8,1,晴時々曇,8,1
2009,1,12,晴時々曇一時雨、あられを伴う,8,1,快晴,8,1
2009,1,13,晴,8,1,快晴,8,1
2009,1,14,快晴,8,1,快晴,8,1
2009,1,15,快晴,8,1,快晴,8,1
2009,1,16,快晴,8,1,快晴,8,1
2009,1,17,快晴,8,1,曇時々晴,8,1
2009,1,18,曇一時雨,8,1,曇時々雨,8,1
2009,1,19,晴一時曇,8,1,晴後一時薄曇,8,1
2009,1,20,曇,8,1,曇,8,1
2009,1,21,曇後一時雨,8,1,雨,8,1
2009,1,22,霧雨時々雨,8,1,雨一時霧雨,8,1
2009,1,23,雨後曇一時晴,8,1,曇,8,1
2009,1,24,曇一時晴,8,1,曇時々雨後一時晴、みぞれを伴う,8,1
2009,1,25,快晴,8,1,快晴,8,1
2009,1,26,薄曇時々晴,8,1,薄曇一時晴,8,1
2009,1,27,晴後薄曇,8,1,曇一時晴,8,1
2009,1,28,曇後一時雨,8,1,曇,8,1
2009,1,29,曇,8,1,曇後一時雨,8,1
2009,1,30,雨,8,1,大雨一時曇,8,1
2009,1,31,雨後時々曇,8,1,曇時々雨後晴,8,1
2009,2,1,快晴,8,1,快晴,8,1
2009,2,2,晴後曇,8,1,晴後薄曇,8,1
2009,2,3,晴時々薄曇,8,1,曇,8,1
2009,2,4,曇,8,1,曇,8,1
2009,2,5,曇後時々晴,8,1,曇後晴,8,1
2009,2,6,快晴,8,1,晴後一時曇,8,1
2009,2,7,晴一時曇,8,1,晴一時薄曇,8,1
2009,2,8,快晴,8,1,晴,8,1
2009,2,9,曇,8,1,曇後一時晴,8,1
2009,2,10,晴後一時曇,8,1,晴後曇,8,1
2009,2,11,曇一時雨,8,1,晴一時雨,8,1
2009,2,12,晴,8,1,晴後薄曇,8,1
2009,2,13,曇,8,1,曇時々雨,8,1
2009,2,14,晴一時曇,8,1,晴時々曇,8,1
2009,2,15,曇一時晴,8,1,曇,8,1
2009,2,16,曇時々晴,8,1,曇後一時晴,8,1
2009,2,17,晴,8,1,晴,8,1
2009,2,18,晴後一時曇,8,1,晴後一時曇,8,1
2009,2,19,晴時々薄曇,8,1,曇後雨一時みぞれ,8,1
2009,2,20,雨一時みぞれ後晴,8,1,晴,8,1
2009,2,21,快晴,8,1,快晴,8,1
2009,2,22,晴後薄曇,8,1,曇後雨,8,1
2009,2,23,雨後一時晴,8,1,晴後薄曇,8,1
2009,2,24,曇後雨,8,1,雨後曇,8,1
2009,2,25,曇時々雨,8,1,曇,8,1
2009,2,26,雨時々曇,8,1,雨,8,1
2009,2,27,雨時々雪一時みぞれ,8,1,霧雨時々雨一時曇,8,1
2009,2,28,曇,8,1,曇,8,1
2009,3,1,曇時々雨,8,1,曇後晴,8,1
2009,3,2,快晴,8,1,晴後曇,8,1
2009,3,3,曇後時々雨一時みぞれ,8,1,雪時々みぞれ一時雨,8,1
2009,3,4,曇後雨,8,1,雨一時曇後晴,8,1
2009,3,5,晴後薄曇,8,1,曇後時々雨,8,1
